Spp,Plot.ID,Year,P1,P2,P3,P4,P5,P6,P7
ERIVAG,6,2007,149,149,158,NA,NA,NA,NA
ERIVAG,7,2007,149,149,158,NA,NA,NA,NA
ERIVAG,8,2007,149,149,158,NA,NA,NA,NA
ERIVAG,9,2007,149,158,158,NA,NA,NA,NA
ERIVAG,10,2007,149,149,158,NA,NA,NA,NA
ERIVAG,11,2007,149,149,158,NA,NA,NA,NA
ERIVAG,12,2007,149,149,158,NA,NA,NA,NA
ERIVAG,13,2007,149,149,158,NA,NA,NA,NA
ERIVAG,14,2007,158,158,158,NA,NA,NA,NA
ERIVAG,15,2007,149,149,158,NA,NA,NA,NA
ERIVAG,16,2007,149,149,158,NA,NA,NA,NA
ERIVAG,17,2007,158,158,158,NA,NA,NA,NA
ERIVAG,18,2007,149,149,158,NA,NA,NA,NA
ERIVAG,19,2007,149,149,158,NA,NA,NA,NA
ERIVAG,20,2007,158,158,158,NA,NA,NA,NA
SALARC,F1,2007,158,167,NA,NA,210,222,236
SALARC,F10,2007,NA,NA,NA,NA,210,233,242
SALARC,F2,2007,158,NA,NA,NA,NA,NA,NA
SALARC,F3,2007,158,185,NA,NA,227,236,242
SALARC,F4,2007,158,167,NA,NA,210,230,242
SALARC,F5,2007,158,191,NA,NA,218,230,238
SALARC,F6,2007,158,167,NA,NA,203,230,242
SALARC,F7,2007,158,167,NA,NA,206,230,242
SALARC,F8,2007,158,NA,NA,NA,210,233,242
SALARC,F9,2007,158,167,NA,197,215,230,242
SALARC,M1,2007,158,164,182,NA,197,222,242
SALARC,M10,2007,NA,182,NA,NA,224,236,255
SALARC,M2,2007,158,173,NA,NA,224,233,242
SALARC,M3,2007,158,185,NA,NA,224,227,236
SALARC,M4,2007,158,167,NA,NA,194,230,242
SALARC,M5,2007,158,161,182,NA,210,230,236
SALARC,M6,2007,158,173,NA,NA,210,218,236
SALARC,M7,2007,158,NA,NA,NA,218,238,258
SALARC,M8,2007,158,NA,NA,NA,210,236,238
SALARC,M9,2007,158,173,NA,NA,215,230,242
DRYINT,1,2006,132,NA,NA,NA,NA,NA,NA
DRYINT,2,2006,135,174,177,193,NA,NA,NA
DRYINT,3,2006,135,174,177,183,195,NA,NA
DRYINT,4,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,5,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,6,2006,135,174,177,193,196,NA,NA
DRYINT,7,2006,135,174,177,189,193,NA,NA
DRYINT,8,2006,132,180,184,189,202,NA,NA
DRYINT,9,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,10,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,11,2006,135,180,184,193,NA,NA,NA
DRYINT,12,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,13,2006,135,177,177,189,NA,NA,NA
DRYINT,14,2006,135,174,177,189,202,NA,NA
DRYINT,15,2006,135,177,184,202,NA,NA,NA
DRYINT,16,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,17,2006,135,180,184,193,NA,NA,NA
DRYINT,18,2006,135,NA,NA,NA,NA,NA,NA
DRYINT,19,2006,135,177,180,186,NA,NA,NA
DRYINT,20,2006,135,NA,NA,NA,NA,NA,NA
ERIVAG,1,2006,138,141,150,NA,NA,NA,NA
ERIVAG,2,2006,NA,NA,162,NA,NA,NA,NA
ERIVAG,3,2006,135,141,145,NA,NA,NA,NA
ERIVAG,4,2006,138,141,NA,NA,NA,NA,NA
ERIVAG,5,2006,135,138,147,NA,NA,NA,NA
ERIVAG,6,2006,135,138,145,NA,NA,NA,NA
ERIVAG,7,2006,135,NA,NA,NA,NA,NA,NA
ERIVAG,8,2006,138,138,150,NA,NA,NA,NA
ERIVAG,9,2006,135,NA,NA,NA,NA,NA,NA
ERIVAG,10,2006,135,141,147,NA,NA,NA,NA
ERIVAG,11,2006,138,138,145,NA,NA,NA,NA
ERIVAG,12,2006,135,138,150,NA,NA,NA,NA
ERIVAG,13,2006,138,138,150,NA,NA,NA,NA
ERIVAG,14,2006,135,138,145,NA,NA,NA,NA
ERIVAG,15,2006,135,138,150,NA,NA,NA,NA
ERIVAG,16,2006,135,138,162,NA,NA,NA,NA
ERIVAG,17,2006,138,NA,NA,NA,NA,NA,NA
ERIVAG,18,2006,135,141,145,NA,NA,NA,NA
ERIVAG,19,2006,135,138,145,NA,NA,NA,NA
ERIVAG,20,2006,135,138,162,NA,NA,NA,NA
SALARC,F1,2006,147,159,NA,NA,207,235,238
SALARC,F10,2006,141,165,NA,NA,NA,NA,NA
SALARC,F2,2006,147,165,NA,NA,204,232,NA
SALARC,F3,2006,147,162,NA,NA,207,NA,235
SALARC,F4,2006,145,162,NA,NA,214,238,NA
SALARC,F5,2006,145,165,NA,NA,202,232,235
SALARC,F6,2006,145,162,NA,180,202,241,NA
SALARC,F7,2006,145,156,NA,NA,214,241,NA
SALARC,F8,2006,145,159,NA,NA,202,NA,NA
SALARC,F9,2006,141,153,NA,177,210,NA,NA
SALARC,M1,2006,147,159,NA,NA,202,241,NA
SALARC,M10,2006,141,162,NA,NA,207,NA,NA
SALARC,M2,2006,147,165,NA,NA,210,241,NA
SALARC,M3,2006,147,165,NA,NA,NA,NA,235
SALARC,M4,2006,145,159,NA,NA,202,241,NA
SALARC,M5,2006,145,156,NA,NA,204,238,NA
SALARC,M6,2006,145,162,NA,NA,207,235,235
SALARC,M7,2006,147,162,NA,NA,202,NA,NA
SALARC,M8,2006,141,159,NA,NA,207,NA,NA
SALARC,M9,2006,141,156,177,NA,210,NA,NA
DRYINT,1,2005,117,NA,NA,NA,NA,NA,NA
DRYINT,2,2005,117,NA,NA,NA,NA,NA,NA
DRYINT,3,2005,117,NA,NA,NA,NA,NA,NA
DRYINT,4,2005,114,NA,NA,NA,NA,NA,NA
DRYINT,5,2005,114,NA,NA,NA,NA,NA,NA
DRYINT,6,2005,120,NA,NA,NA,NA,NA,NA
DRYINT,7,2005,120,174,210,NA,NA,NA,NA
DRYINT,8,2005,120,183,195,NA,NA,NA,NA
DRYINT,9,2005,123,NA,NA,NA,NA,NA,NA
DRYINT,10,2005,117,NA,NA,NA,NA,NA,NA
DRYINT,11,2005,117,190,198,188,213,NA,NA
DRYINT,12,2005,117,NA,NA,NA,NA,NA,NA
DRYINT,13,2005,120,183,206,208,215,NA,NA
DRYINT,14,2005,117,186,190,204,215,NA,NA
DRYINT,15,2005,123,183,195,208,NA,NA,NA
DRYINT,16,2005,138,NA,NA,NA,NA,NA,NA
DRYINT,17,2005,144,NA,NA,NA,NA,NA,NA
DRYINT,18,2005,147,NA,NA,NA,NA,NA,NA
DRYINT,19,2005,144,190,195,208,NA,NA,NA
DRYINT,20,2005,147,NA,NA,NA,NA,NA,NA
ERIVAG,1,2005,NA,144,156,NA,NA,NA,NA
ERIVAG,2,2005,138,138,147,NA,NA,NA,NA
ERIVAG,3,2005,120,138,147,NA,NA,NA,NA
ERIVAG,4,2005,123,NA,NA,NA,NA,NA,NA
ERIVAG,5,2005,138,NA,NA,NA,NA,NA,NA
ERIVAG,6,2005,120,138,147,NA,NA,NA,NA
ERIVAG,7,2005,132,138,147,NA,NA,NA,NA
ERIVAG,8,2005,138,138,147,NA,NA,NA,NA
ERIVAG,9,2005,138,147,147,NA,NA,NA,NA
ERIVAG,10,2005,120,138,144,NA,NA,NA,NA
ERIVAG,11,2005,123,138,144,NA,NA,NA,NA
ERIVAG,12,2005,123,144,150,NA,NA,NA,NA
ERIVAG,13,2005,120,138,147,NA,NA,NA,NA
ERIVAG,14,2005,123,138,150,NA,NA,NA,NA
ERIVAG,15,2005,120,138,159,NA,NA,NA,NA
ERIVAG,16,2005,120,138,147,NA,NA,NA,NA
ERIVAG,17,2005,120,138,156,NA,NA,NA,NA
ERIVAG,18,2005,120,138,144,NA,NA,NA,NA
ERIVAG,19,2005,120,138,144,NA,NA,NA,NA
ERIVAG,20,2005,120,138,159,NA,NA,NA,NA
SALARC,F1,2005,156,174,NA,NA,220,241,NA
SALARC,F10,2005,130,174,NA,NA,217,NA,NA
SALARC,F2,2005,153,174,NA,NA,223,NA,NA
SALARC,F3,2005,150,174,NA,NA,223,241,NA
SALARC,F4,2005,147,174,NA,NA,217,NA,NA
SALARC,F5,2005,147,174,NA,NA,220,NA,NA
SALARC,F6,2005,144,162,NA,NA,215,241,NA
SALARC,F7,2005,144,174,NA,NA,215,NA,NA
SALARC,F8,2005,144,165,NA,NA,220,NA,NA
SALARC,F9,2005,144,162,NA,NA,210,241,NA
SALARC,M1,2005,156,162,180,NA,210,241,NA
SALARC,M10,2005,138,162,174,NA,226,NA,NA
SALARC,M2,2005,150,174,NA,NA,220,NA,NA
SALARC,M3,2005,150,162,190,NA,217,NA,NA
SALARC,M4,2005,150,168,NA,NA,220,NA,NA
SALARC,M5,2005,147,162,174,NA,217,NA,NA
SALARC,M6,2005,144,162,183,NA,223,NA,NA
SALARC,M7,2005,144,174,NA,NA,217,NA,NA
SALARC,M8,2005,144,168,NA,NA,226,NA,NA
SALARC,M9,2005,138,174,NA,NA,226,NA,NA
DRYINT,1,2004,NA,NA,NA,NA,NA,NA,NA
DRYINT,2,2004,135,182,185,194,197,NA,NA
DRYINT,3,2004,117,173,179,197,191,NA,NA
DRYINT,4,2004,141,NA,NA,NA,NA,NA,NA
DRYINT,5,2004,132,182,185,191,191,NA,NA
DRYINT,6,2004,144,182,185,NA,197,NA,NA
DRYINT,7,2004,150,182,185,194,197,NA,NA
DRYINT,8,2004,150,182,185,191,191,NA,NA
DRYINT,9,2004,153,182,NA,NA,NA,NA,NA
DRYINT,10,2004,153,182,182,194,191,NA,NA
DRYINT,11,2004,156,185,188,200,NA,NA,NA
DRYINT,12,2004,159,NA,NA,NA,NA,NA,NA
DRYINT,13,2004,159,182,185,197,NA,NA,NA
DRYINT,14,2004,159,185,188,197,NA,NA,NA
DRYINT,15,2004,159,182,188,200,NA,NA,NA
DRYINT,16,2004,159,NA,NA,NA,NA,NA,NA
DRYINT,17,2004,159,NA,NA,NA,NA,NA,NA
DRYINT,18,2004,159,185,197,NA,NA,NA,NA
DRYINT,19,2004,162,191,197,NA,NA,NA,NA
DRYINT,20,2004,162,191,200,NA,NA,NA,NA
ERIVAG,1,2004,NA,150,156,NA,NA,NA,NA
ERIVAG,2,2004,144,150,156,NA,NA,NA,NA
ERIVAG,3,2004,144,150,156,NA,NA,NA,NA
ERIVAG,4,2004,144,153,162,NA,NA,NA,NA
ERIVAG,5,2004,144,NA,NA,NA,NA,NA,NA
ERIVAG,6,2004,144,150,153,NA,NA,NA,NA
ERIVAG,7,2004,144,150,153,NA,NA,NA,NA
ERIVAG,8,2004,144,150,153,NA,NA,NA,NA
ERIVAG,9,2004,150,148,NA,NA,NA,NA,NA
ERIVAG,10,2004,144,150,153,NA,NA,NA,NA
ERIVAG,11,2004,150,153,156,NA,NA,NA,NA
ERIVAG,12,2004,150,153,159,NA,NA,NA,NA
ERIVAG,13,2004,141,NA,NA,NA,NA,NA,NA
ERIVAG,14,2004,144,NA,NA,NA,NA,NA,NA
ERIVAG,15,2004,144,150,153,NA,NA,NA,NA
ERIVAG,16,2004,144,150,150,NA,NA,NA,NA
ERIVAG,17,2004,144,153,156,NA,NA,NA,NA
ERIVAG,18,2004,144,150,153,NA,NA,NA,NA
ERIVAG,19,2004,144,150,153,NA,NA,NA,NA
ERIVAG,20,2004,144,150,153,NA,NA,NA,NA
SALARC,F1,2004,170,179,NA,NA,210,236,NA
SALARC,F10,2004,168,176,NA,NA,210,NA,NA
SALARC,F2,2004,170,185,NA,NA,210,NA,NA
SALARC,F3,2004,170,185,NA,NA,215,NA,NA
SALARC,F4,2004,170,176,NA,NA,210,NA,NA
SALARC,F5,2004,170,176,NA,NA,210,NA,NA
SALARC,F6,2004,170,176,NA,NA,215,NA,NA
SALARC,F7,2004,170,176,NA,NA,224,NA,NA
SALARC,F8,2004,170,176,NA,NA,210,NA,NA
SALARC,F9,2004,170,176,NA,NA,210,NA,NA
SALARC,M1,2004,170,179,NA,NA,210,NA,NA
SALARC,M10,2004,168,176,NA,NA,210,NA,NA
SALARC,M2,2004,170,176,NA,NA,224,NA,NA
SALARC,M3,2004,170,182,NA,NA,212,NA,NA
SALARC,M4,2004,168,176,NA,NA,210,NA,NA
SALARC,M5,2004,170,182,NA,NA,210,NA,NA
SALARC,M6,2004,170,176,NA,NA,224,NA,NA
SALARC,M7,2004,170,176,NA,NA,210,NA,NA
SALARC,M8,2004,170,176,NA,NA,224,NA,NA
SALARC,M9,2004,168,176,NA,NA,224,NA,NA
DRYINT,1,2003,141,190,NA,NA,NA,NA,NA
DRYINT,2,2003,141,183,183,198,196,NA,NA
DRYINT,3,2003,141,183,184,196,196,NA,NA
DRYINT,4,2003,141,NA,190,201,204,NA,NA
DRYINT,5,2003,141,183,183,198,196,NA,NA
DRYINT,6,2003,141,183,183,201,198,NA,NA
DRYINT,7,2003,147,183,183,196,196,NA,NA
DRYINT,8,2003,141,183,186,196,196,NA,NA
DRYINT,9,2003,147,183,183,198,NA,NA,NA
DRYINT,10,2003,147,183,183,196,196,NA,NA
DRYINT,11,2003,147,183,186,196,NA,NA,NA
DRYINT,12,2003,147,183,186,198,NA,NA,NA
DRYINT,13,2003,147,183,183,196,196,NA,NA
DRYINT,14,2003,147,183,186,198,196,NA,NA
DRYINT,15,2003,147,183,186,201,204,NA,NA
DRYINT,16,2003,147,183,NA,NA,NA,NA,NA
DRYINT,17,2003,147,183,186,196,196,NA,NA
DRYINT,18,2003,147,NA,NA,NA,NA,NA,NA
DRYINT,19,2003,147,183,190,201,204,NA,NA
DRYINT,20,2003,141,NA,190,NA,204,NA,NA
ERIVAG,1,2003,151,NA,NA,NA,NA,NA,NA
ERIVAG,2,2003,154,158,164,NA,NA,NA,NA
ERIVAG,3,2003,141,NA,NA,NA,NA,NA,NA
ERIVAG,4,2003,149,NA,NA,NA,NA,NA,NA
ERIVAG,5,2003,147,NA,NA,NA,NA,NA,NA
ERIVAG,6,2003,147,154,158,NA,NA,NA,NA
ERIVAG,7,2003,147,158,168,NA,NA,NA,NA
ERIVAG,8,2003,141,154,183,NA,NA,NA,NA
ERIVAG,9,2003,141,164,168,NA,NA,NA,NA
ERIVAG,10,2003,147,154,158,NA,NA,NA,NA
ERIVAG,11,2003,141,154,154,NA,NA,NA,NA
ERIVAG,12,2003,141,154,154,NA,NA,NA,NA
ERIVAG,13,2003,141,154,154,NA,NA,NA,NA
ERIVAG,14,2003,141,154,154,NA,NA,NA,NA
ERIVAG,15,2003,141,154,154,NA,NA,NA,NA
ERIVAG,16,2003,141,154,154,NA,NA,NA,NA
ERIVAG,17,2003,141,NA,NA,NA,NA,NA,NA
ERIVAG,18,2003,141,154,158,NA,NA,NA,NA
ERIVAG,19,2003,141,NA,NA,NA,NA,NA,NA
ERIVAG,20,2003,141,154,164,NA,NA,NA,NA
SALARC,F1,2003,154,190,NA,NA,222,234,NA
SALARC,F10,2003,151,171,NA,NA,222,NA,NA
SALARC,F2,2003,154,174,NA,NA,222,NA,NA
SALARC,F3,2003,154,183,NA,NA,213,234,NA
SALARC,F4,2003,154,171,NA,NA,210,NA,NA
SALARC,F5,2003,154,171,NA,NA,222,NA,NA
SALARC,F6,2003,141,186,NA,NA,210,NA,NA
SALARC,F7,2003,141,171,NA,NA,210,234,NA
SALARC,F8,2003,141,168,NA,NA,222,NA,NA
SALARC,F9,2003,141,168,NA,204,210,NA,NA
SALARC,M1,2003,154,174,NA,NA,222,231,NA
SALARC,M10,2003,151,171,183,NA,228,NA,NA
SALARC,M2,2003,154,171,NA,NA,228,234,NA
SALARC,M3,2003,154,174,NA,NA,222,234,NA
SALARC,M4,2003,154,174,NA,NA,216,NA,NA
SALARC,M5,2003,151,NA,NA,NA,NA,NA,NA
SALARC,M6,2003,141,174,NA,NA,228,NA,NA
SALARC,M7,2003,141,168,NA,NA,213,NA,NA
SALARC,M8,2003,141,168,183,NA,228,NA,NA
SALARC,M9,2003,151,174,183,NA,222,NA,NA
DRYINT,1,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,2,2002,131,185,NA,NA,NA,NA,NA
DRYINT,3,2002,131,185,NA,NA,NA,NA,NA
DRYINT,4,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,5,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,6,2002,131,170,185,NA,NA,NA,NA
DRYINT,7,2002,131,176,185,NA,NA,NA,NA
DRYINT,8,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,9,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,10,2002,131,185,NA,NA,NA,NA,NA
DRYINT,11,2002,131,179,185,NA,NA,NA,NA
DRYINT,12,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,13,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,14,2002,131,170,NA,NA,NA,NA,NA
DRYINT,15,2002,131,194,NA,NA,NA,NA,NA
DRYINT,16,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,17,2002,131,191,NA,NA,NA,NA,NA
DRYINT,18,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,19,2002,131,NA,NA,NA,NA,NA,NA
DRYINT,20,2002,131,NA,NA,NA,NA,NA,NA
ERIVAG,1,2002,137,137,143,NA,NA,NA,NA
ERIVAG,2,2002,135,135,143,NA,NA,NA,NA
ERIVAG,3,2002,131,137,143,NA,NA,NA,NA
ERIVAG,4,2002,135,137,152,NA,NA,NA,NA
ERIVAG,5,2002,135,135,143,NA,NA,NA,NA
ERIVAG,6,2002,135,152,152,NA,NA,NA,NA
ERIVAG,7,2002,135,143,152,NA,NA,NA,NA
ERIVAG,8,2002,140,143,152,NA,NA,NA,NA
ERIVAG,9,2002,143,NA,165,NA,NA,NA,NA
ERIVAG,10,2002,143,152,152,NA,NA,NA,NA
ERIVAG,11,2002,131,131,137,NA,NA,NA,NA
ERIVAG,12,2002,137,137,143,NA,NA,NA,NA
ERIVAG,13,2002,131,131,140,NA,NA,NA,NA
ERIVAG,14,2002,135,137,143,NA,NA,NA,NA
ERIVAG,15,2002,135,135,143,NA,NA,NA,NA
ERIVAG,16,2002,131,131,137,NA,NA,NA,NA
ERIVAG,17,2002,131,159,165,NA,NA,NA,NA
ERIVAG,18,2002,131,131,137,NA,NA,NA,NA
ERIVAG,19,2002,131,131,137,NA,NA,NA,NA
ERIVAG,20,2002,135,135,152,NA,NA,NA,NA
SALARC,F1,2002,152,159,NA,NA,221,NA,NA
SALARC,F10,2002,152,159,NA,NA,230,235,NA
SALARC,F2,2002,152,159,NA,NA,224,NA,NA
SALARC,F3,2002,152,161,NA,197,235,NA,NA
SALARC,F4,2002,152,159,NA,NA,221,NA,NA
SALARC,F5,2002,155,159,NA,NA,230,NA,NA
SALARC,F6,2002,155,161,NA,168,235,NA,NA
SALARC,F7,2002,152,159,NA,197,221,NA,NA
SALARC,F8,2002,152,161,NA,NA,221,NA,NA
SALARC,F9,2002,152,159,NA,NA,221,235,NA
SALARC,M1,2002,152,159,NA,NA,224,235,NA
SALARC,M10,2002,152,161,NA,NA,230,NA,NA
SALARC,M2,2002,152,161,NA,NA,230,NA,NA
SALARC,M3,2002,152,159,NA,NA,224,NA,NA
SALARC,M4,2002,152,159,NA,NA,221,NA,NA
SALARC,M5,2002,155,161,NA,NA,228,NA,NA
SALARC,M6,2002,155,161,NA,NA,235,NA,NA
SALARC,M7,2002,152,159,NA,NA,221,NA,NA
SALARC,M8,2002,152,159,NA,NA,221,NA,NA
SALARC,M9,2002,152,159,NA,NA,228,NA,NA
DRYINT,1,2001,156,195,199,206,NA,NA,NA
DRYINT,2,2001,156,184,194,NA,NA,NA,NA
DRYINT,3,2001,156,190,194,206,NA,NA,NA
DRYINT,4,2001,156,189,194,206,NA,NA,NA
DRYINT,5,2001,156,178,182,202,NA,NA,NA
DRYINT,6,2001,156,182,190,206,NA,NA,NA
DRYINT,7,2001,156,NA,182,202,NA,NA,NA
DRYINT,8,2001,156,190,194,206,NA,NA,NA
DRYINT,9,2001,156,182,190,206,NA,NA,NA
DRYINT,10,2001,156,178,182,202,NA,NA,NA
DRYINT,11,2001,156,184,190,202,NA,NA,NA
DRYINT,12,2001,156,NA,NA,NA,NA,NA,NA
DRYINT,13,2001,156,182,184,202,NA,NA,NA
DRYINT,14,2001,156,181,184,202,NA,NA,NA
DRYINT,15,2001,156,194,196,206,NA,NA,NA
DRYINT,16,2001,156,194,196,206,NA,NA,NA
DRYINT,17,2001,156,199,NA,206,NA,NA,NA
DRYINT,18,2001,156,NA,NA,NA,NA,NA,NA
DRYINT,19,2001,156,184,190,202,NA,NA,NA
DRYINT,20,2001,156,178,182,199,NA,NA,NA
SALARC,F1,2001,163,169,190,NA,NA,NA,NA
SALARC,F10,2001,158,163,190,NA,NA,NA,NA
SALARC,F2,2001,163,172,190,NA,NA,NA,NA
SALARC,F3,2001,160,172,190,NA,NA,NA,NA
SALARC,F4,2001,158,167,190,NA,NA,NA,NA
SALARC,F5,2001,160,172,181,NA,NA,NA,NA
SALARC,F6,2001,158,172,190,195,NA,NA,NA
SALARC,F7,2001,158,169,187,202,206,NA,NA
SALARC,F8,2001,158,163,190,NA,NA,NA,NA
SALARC,F9,2001,158,163,187,202,NA,NA,NA
SALARC,M1,2001,163,172,190,NA,NA,NA,NA
SALARC,M10,2001,158,163,178,NA,NA,NA,NA
SALARC,M2,2001,163,167,181,NA,NA,NA,NA
SALARC,M3,2001,163,172,190,NA,NA,NA,NA
SALARC,M4,2001,163,169,190,NA,NA,NA,NA
SALARC,M5,2001,160,172,190,NA,NA,NA,NA
SALARC,M6,2001,158,172,181,NA,NA,NA,NA
SALARC,M7,2001,158,169,190,NA,NA,NA,NA
SALARC,M8,2001,158,163,187,NA,NA,NA,NA
SALARC,M9,2001,158,163,187,202,NA,NA,NA