date,solar_noon(UTC-7)
2017-06-01,14:13:35
2017-06-02,14:13:44
2017-06-03,14:13:54
2017-06-04,14:14:05
2017-06-05,14:14:15
2017-06-06,14:14:26
2017-06-07,14:14:38
2017-06-08,14:14:49
2017-06-09,14:15:01
2017-06-10,14:15:13
2017-06-11,14:15:25
2017-06-12,14:15:38
2017-06-13,14:15:50
2017-06-14,14:16:03
2017-06-15,14:16:16
2017-06-16,14:16:29
2017-06-17,14:16:42
2017-06-18,14:16:55
2017-06-19,14:17:08
2017-06-20,14:17:21
2017-06-21,14:17:34
2017-06-22,14:17:47
2017-06-23,14:18:00
2017-06-24,14:18:13
2017-06-25,14:18:25
2017-06-26,14:18:38
2017-06-27,14:18:50
2017-06-28,14:19:03
2017-06-29,14:19:15
2017-06-30,14:19:26
2017-07-01,14:19:38
2017-07-02,14:19:49
2017-07-03,14:20:00
2017-07-04,14:20:11
2017-07-05,14:20:21
2017-07-06,14:20:31
2017-07-07,14:20:40
2017-07-08,14:20:50
2017-07-09,14:20:58
2017-07-10,14:21:07
2017-07-11,14:21:14
2017-07-12,14:21:22
2017-07-13,14:21:29
2017-07-14,14:21:35
2017-07-15,14:21:41
2017-07-16,14:21:47
2017-07-17,14:21:52
2017-07-18,14:21:56
2017-07-19,14:22:00
2017-07-20,14:22:03
2017-07-21,14:22:06
2017-07-22,14:22:08
2017-07-23,14:22:09
2017-07-24,14:22:10
2017-07-25,14:22:11
2017-07-26,14:22:11
2017-07-27,14:22:10
2017-07-28,14:22:08
2017-07-29,14:22:06
2017-07-30,14:22:04
2017-07-31,14:22:00
2017-08-01,14:21:57
2017-08-02,14:21:52
2017-08-03,14:21:47
2017-08-04,14:21:41
2017-08-05,14:21:35
2017-08-06,14:21:28
2017-08-07,14:21:21
2017-08-08,14:21:13
2017-08-09,14:21:04
2017-08-10,14:20:55
2017-08-11,14:20:45
2017-08-12,14:20:35
2017-08-13,14:20:24
2017-08-14,14:20:12
2017-08-15,14:20:01
2017-08-16,14:19:48
2017-08-17,14:19:35
2017-08-18,14:19:22
2017-08-19,14:19:08
2017-08-20,14:18:53
2017-08-21,14:18:38
2017-08-22,14:18:23
2017-08-23,14:18:07
2017-08-24,14:17:51
2017-08-25,14:17:34
2017-08-26,14:17:17
2017-08-27,14:17:00
2017-08-28,14:16:42
2017-08-29,14:16:24
2017-08-30,14:16:06
2017-08-31,14:15:47
2016-06-01,14:13:37
2016-06-02,14:13:47
2016-06-03,14:13:57
2016-06-04,14:14:07
2016-06-05,14:14:18
2016-06-06,14:14:29
2016-06-07,14:14:40
2016-06-08,14:14:52
2016-06-09,14:15:04
2016-06-10,14:15:16
2016-06-11,14:15:28
2016-06-12,14:15:41
2016-06-13,14:15:53
2016-06-14,14:16:06
2016-06-15,14:16:19
2016-06-16,14:16:32
2016-06-17,14:16:45
2016-06-18,14:16:58
2016-06-19,14:17:11
2016-06-20,14:17:24
2016-06-21,14:17:37
2016-06-22,14:17:50
2016-06-23,14:18:03
2016-06-24,14:18:16
2016-06-25,14:18:28
2016-06-26,14:18:41
2016-06-27,14:18:53
2016-06-28,14:19:05
2016-06-29,14:19:17
2016-06-30,14:19:29
2016-07-01,14:19:40
2016-07-02,14:19:52
2016-07-03,14:20:02
2016-07-04,14:20:13
2016-07-05,14:20:23
2016-07-06,14:20:33
2016-07-07,14:20:42
2016-07-08,14:20:52
2016-07-09,14:21:00
2016-07-10,14:21:08
2016-07-11,14:21:16
2016-07-12,14:21:23
2016-07-13,14:21:30
2016-07-14,14:21:37
2016-07-15,14:21:42
2016-07-16,14:21:48
2016-07-17,14:21:53
2016-07-18,14:21:57
2016-07-19,14:22:01
2016-07-20,14:22:04
2016-07-21,14:22:06
2016-07-22,14:22:08
2016-07-23,14:22:10
2016-07-24,14:22:10
2016-07-25,14:22:11
2016-07-26,14:22:10
2016-07-27,14:22:09
2016-07-28,14:22:08
2016-07-29,14:22:06
2016-07-30,14:22:03
2016-07-31,14:21:59
2016-08-01,14:21:55
2016-08-02,14:21:51
2016-08-03,14:21:46
2016-08-04,14:21:40
2016-08-05,14:21:33
2016-08-06,14:21:26
2016-08-07,14:21:19
2016-08-08,14:21:10
2016-08-09,14:21:02
2016-08-10,14:20:52
2016-08-11,14:20:42
2016-08-12,14:20:32
2016-08-13,14:20:21
2016-08-14,14:20:09
2016-08-15,14:19:57
2016-08-16,14:19:45
2016-08-17,14:19:32
2016-08-18,14:19:18
2016-08-19,14:19:04
2016-08-20,14:18:50
2016-08-21,14:18:35
2016-08-22,14:18:19
2016-08-23,14:18:03
2016-08-24,14:17:47
2016-08-25,14:17:30
2016-08-26,14:17:13
2016-08-27,14:16:56
2016-08-28,14:16:38
2016-08-29,14:16:20
2016-08-30,14:16:01
2016-08-31,14:15:42